#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B	Official Symbol Interactor A-B
658715	6907	8349	112770	113945	-	-	TBL1X	HIST2H2BE	EBI|SMAP55|TBL1	GL105|H2B|H2B.1|H2BFQ|H2BGL105|H2BQ	Affinity Capture-Luminescence	physical	Yoon HG (2005)	PUBMED:15601853	9606	9606	Low Throughput	-	-	figure 4A.	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q16778	-	NP_003519	-	-	-	-	-	-	Homo sapiens	Homo sapiens	HIST2H2BE
658716	6907	8359	112770	113955	-	-	TBL1X	HIST1H4A	EBI|SMAP55|TBL1	H4FA	Affinity Capture-Luminescence	physical	Yoon HG (2005)	PUBMED:15601853	9606	9606	Low Throughput	-	-	figure 4A.	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	P62805	B2R4R0	NP_003529	-	-	-	-	-	-	Homo sapiens	Homo sapiens	HIST1H4A
663572	1994	6907	108309	112770	-	-	ELAVL1	TBL1X	ELAV1|HUR|Hua|MelG	EBI|SMAP55|TBL1	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	PUBMED:19322201	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15717	-	NP_001410	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens	ELAVL1
672207	4898	6907	110954	112770	RP4-657D16.2	-	NRD1	TBL1X	hNRD1|hNRD2	EBI|SMAP55|TBL1	Affinity Capture-Western	physical	Li J (2012)	PUBMED:22294699	9606	9606	Low Throughput	-	-	figure 3B.	-	BIOGRID	O43847	G3V1R5|Q6UUU9|B1AKJ5	NP_001095132|NP_001229290|NP_002516	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	NRD1
672209	9611	6907	114973	112770	-	-	NCOR1	TBL1X	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	EBI|SMAP55|TBL1	Affinity Capture-Western	physical	Li J (2012)	PUBMED:22294699	9606	9606	Low Throughput	-	-	figure 3B.	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	NCOR1
681421	7013	6907	112872	112770	-	-	TERF1	TBL1X	PIN2|TRBF1|TRF|TRF1|hTRF1-AS|t-TRF1	EBI|SMAP55|TBL1	Two-hybrid	physical	Lee OH (2011)	PUBMED:21044950	9606	9606	High Throughput	-	-	BifC	-	BIOGRID	P54274	-	NP_003209|NP_059523	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	TERF1
681644	26277	6907	117660	112770	-	-	TINF2	TBL1X	DKCA3|TIN2	EBI|SMAP55|TBL1	Two-hybrid	physical	Lee OH (2011)	PUBMED:21044950	9606	9606	High Throughput	-	-	BifC	-	BIOGRID	Q9BSI4	B4DFJ1	NP_036593|NP_001092744	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	TINF2
695479	997	6907	107432	112770	-	-	CDC34	TBL1X	E2-CDC34|UBC3|UBCH3|UBE2R1	EBI|SMAP55|TBL1	Biochemical Activity	physical	Perissi V (2004)	PUBMED:14980219	9606	9606	Low Throughput	-	Ubiquitination	-	-	BIOGRID	P49427	A0A024R1Z1	NP_004350	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	CDC34
695480	7321	6907	113169	112770	-	-	UBE2D1	TBL1X	E2(17)KB1|SFT|UBC4/5|UBCH5|UBCH5A	EBI|SMAP55|TBL1	Biochemical Activity	physical	Perissi V (2004)	PUBMED:14980219	9606	9606	Low Throughput	-	Ubiquitination	-	-	BIOGRID	P51668	A0A087WW00|A0A024QZJ2	NP_003329|NP_001191809	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	UBE2D1
717660	6907	5970	112770	111902	-	-	TBL1X	RELA	EBI|SMAP55|TBL1	NFKB3|p65	Affinity Capture-Western	physical	Ramadoss S (2011)	PUBMED:21189284	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q04206	A0A087X0W8	NP_001230914|NP_068810|NP_001230913|NP_001138610	-	-	-	-	-	-	Homo sapiens	Homo sapiens	RELA
