#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
504423	20185	81004	203042	219863	RP23-330N10.2	-	Ncor1	Tbl1xr1	5730405M06Rik|A230020K14Rik|N-CoR|RIP13|Rxrip13|mKIAA1047	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	Affinity Capture-Western	physical	Ishizuka T (2005)	PUBMED:15695367	10090	10090	Low Throughput	-	-	-	-	BIOGRID	-	Q8BK32|Q5PRE9|Q8CHB6|Q5RIM6	NP_796203|NP_001239242|NP_035438	Q8BHJ5	-	NP_109657	-	-	-	-	-	-	Mus musculus	Mus musculus
531604	19821	81004	202919	219863	-	-	Rnf2	Tbl1xr1	AI326319|AI450156|AU019207|Ring1B|dinG	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	Affinity Capture-MS	physical	Sanchez C (2007)	PUBMED:17296600	10090	10090	Low Throughput	-	-	-	-	BIOGRID	Q9CQJ4	-	NP_035407	Q8BHJ5	-	NP_109657	-	-	-	-	-	-	Mus musculus	Mus musculus
810235	20371	81004	203183	219863	RP23-54C14.1	-	Foxp3	Tbl1xr1	JM2|scurfin|sf	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	Affinity Capture-MS	physical	Rudra D (2012)	PUBMED:22922362	10090	10090	High Throughput	-	-	-	-	BIOGRID	Q99JB6	Q53Z59	NP_473380|NP_001186276|NP_001186277	Q8BHJ5	-	NP_109657	-	-	-	-	-	-	Mus musculus	Mus musculus
885928	71950	81004	215050	219863	-	-	Nanog	Tbl1xr1	2410002E02Rik|ENK|ecat4	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	Affinity Capture-MS	physical	Gagliardi A (2013)	PUBMED:23892456	10090	10090	High Throughput	697	-	used nuclear extracts, Flag-tagged interactor A	-	BIOGRID	Q80Z64	B7ZN41|A2RS90	NP_001276760|NP_001276757|NP_001276759|NP_082292	Q8BHJ5	-	NP_109657	-	-	-	-	-	-	Mus musculus	Mus musculus
2206691	20185	81004	203042	219863	RP23-330N10.2	-	Ncor1	Tbl1xr1	5730405M06Rik|A230020K14Rik|N-CoR|RIP13|Rxrip13|mKIAA1047	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	Affinity Capture-Western	physical	Jeon BN (2016)	PUBMED:27646874	10090	10090	Low Throughput	-	-	-	-	BIOGRID	-	Q8BK32|Q5PRE9|Q8CHB6|Q5RIM6	NP_796203|NP_001239242|NP_035438	Q8BHJ5	-	NP_109657	-	-	-	-	-	-	Mus musculus	Mus musculus
2338602	14265	81004	199716	219863	-	-	Fmr1	Tbl1xr1	FMRP|Fmr-1	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	Affinity Capture-MS	physical	Li J (2017)	PUBMED:28671696	10090	10090	High Throughput	-	-	e14	-	BIOGRID	-	Q8BPK8|Q6AXB7|E9QAT0|Q547R0|E9QNF5	NP_001277353|NP_032057	Q8BHJ5	-	NP_109657	-	-	-	-	-	-	Mus musculus	Mus musculus
2343917	665113	81004	576981	219863	-	-	Tnik	Tbl1xr1	1500031A17Rik|4831440I19Rik|AI451411|C530008O15Rik|C630040K21Rik	8030499H02Rik|A630076E03Rik|AW539987|C21|C230089I12Rik|DC42|Ira1|TBLR1	Affinity Capture-MS	physical	Li J (2017)	PUBMED:28671696	10090	10090	High Throughput	-	-	e14	-	BIOGRID	P83510	B9EKN8|B2RQ80|E9PUL9	NP_081186|NP_001156479|NP_001156481|NP_001156480	Q8BHJ5	-	NP_109657	-	-	-	-	-	-	Mus musculus	Mus musculus
